Tournament Wins,School,Season,PPG,Opp PPG,Rank Rating,Kenpom,Seed,SOS,2PPG,2PAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,DRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,FG%,2P%,3P%,FT%
0,Baylor,2014-15,56,57,10.53,15.00,3.00,3.00,16.97058824,36.70588235,6.941176471,18.41176471,14.32352941,21.26470588,7.558823529,22.55882353,14.11764706,4.941176471,2.029411765,9.970588235,17.23529412,0.434,0.462,0.377,0.674
2,Wichita State,2014-15,76.3,74,12.36,14.00,7.00,140.00,17.74285714,36.08571429,6.828571429,19.14285714,14.31428571,20.42857143,12.74285714,27.37142857,18.77142857,7.142857143,4.571428571,13.37142857,20.97142857,0.445,0.492,0.357,0.701
1,Iowa,2014-15,75.5,69.5,10.28,13.00,3.00,17.00,18.5,39.08823529,5.647058824,16.94117647,15.82352941,21.26470588,10,21.44117647,14.70588235,7.705882353,4.029411765,11.23529412,19.38235294,0.431,0.473,0.333,0.744
0,Northeastern,2014-15,65,69,10.32,12.00,5.00,146.00,18.14285714,34.25714286,5.8,15.02857143,14.8,20.37142857,9.228571429,22.88571429,13.08571429,6.114285714,4.114285714,13.31428571,16.54285714,0.486,0.53,0.386,0.727
0,Iowa State,2014-15,59,60,9.30,11.00,2.00,2.00,19.91176471,36.67647059,7.735294118,21.35294118,14.76470588,21.20588235,10.20588235,24.08823529,13.97058824,6.5,2.529411765,12.67647059,18.41176471,0.476,0.543,0.362,0.696
1,Northern Iowa,2014-15,62,60,11.97,10.00,3.00,128.00,14.82857143,27.8,7.342857143,18.42857143,13.48571429,18.4,8.171428571,25.85714286,13.97142857,6,5.2,10.6,18.77142857,0.48,0.533,0.398,0.733
1,Ohio State,2014-15,66.5,72.5,8.63,9.00,3.00,14.00,20.8,38.8,6.742857143,18.2,13.45714286,19.8,9.228571429,28,14.31428571,5.257142857,3.171428571,11.45714286,17.8,0.483,0.536,0.37,0.68
2,Utah,2014-15,63,59,14.52,8.00,5.00,51.00,16.71428571,31.6,7.542857143,18.68571429,15.25714286,21.71428571,8.942857143,22.62857143,12.71428571,4.942857143,2.942857143,8.371428571,15.28571429,0.482,0.529,0.404,0.703
2,Dayton,2014-15,62.7,60,23.02,7.00,1.00,15.00,15.86111111,30.13888889,6.638888889,18.61111111,16.11111111,23.5,7.611111111,23.77777778,14.16666667,7,3.722222222,12.86111111,18.19444444,0.462,0.526,0.357,0.686
1,Georgia State,2014-15,62,65.5,22.86,6.00,2.00,100.00,20.8,38.74285714,4.971428571,14.91428571,14.88571429,20.54285714,8.971428571,25.45714286,18.17142857,9.742857143,3.171428571,10.74285714,18.6,0.48,0.537,0.333,0.725
1,Virginia,2014-15,66.5,63.5,19.47,5.00,1.00,99.00,18.64705882,37.5,5,14.20588235,13.11764706,18.05882353,12.55882353,22.23529412,17.73529412,7.911764706,3.970588235,12.35294118,19.41176471,0.457,0.497,0.352,0.726
0,Virginia Commonwealth,2014-15,72,75,20.26,4.00,2.00,55.00,16.75,35.69444444,8.138888889,23.72222222,14.55555556,22.13888889,9.861111111,23.77777778,12.91666667,5.722222222,2.611111111,12.88888889,17.86111111,0.419,0.469,0.343,0.657
5,Wisconsin,2014-15,76,69.8,25.30,3.00,1.00,25.00,18.15,33.125,7.2,19.75,14.6,19.125,6.925,24.15,11.925,4.375,2.975,11.425,15.275,0.479,0.548,0.365,0.763
3,Arizona,2014-15,78,68.8,23.28,2.00,2.00,76.00,21.47368421,40.31578947,5.078947368,14.10526316,18.42105263,25.63157895,9.605263158,24.71052632,16.76315789,6.815789474,4.578947368,11.15789474,18.97368421,0.488,0.533,0.36,0.719
1,Kansas,2014-15,70,67,34.93,1.00,1.00,61.00,18.22222222,39.27777778,5.916666667,15.61111111,16.94444444,23.38888889,11.16666667,19.69444444,11.80555556,7.444444444,5.222222222,10.25,16.5,0.44,0.464,0.379,0.724
3,Michigan State,2013-14,72,67.5,-0.72,259.00,16.00,319.00,18.86842105,36.21052632,8.078947368,20.60526316,13.55263158,19.15789474,9.552631579,25.23684211,15.42105263,6.184210526,3.684210526,10.5,17.78947368,0.474,0.521,0.392,0.707
1,Texas,2013-14,76,82,-0.18,233.00,16.00,351.00,20.77142857,44.28571429,5.085714286,15.57142857,17.42857143,25.97142857,10.71428571,25.11428571,14.17142857,6.742857143,3.971428571,12.05714286,18.4,0.432,0.469,0.327,0.671
0,Providence,2013-14,77,79,0.05,215.00,12.00,321.00,18.02857143,38.74285714,6.228571429,17.94285714,18.57142857,23.74285714,14.85714286,30.62857143,18.82857143,7.4,6.257142857,12.88571429,15.71428571,0.428,0.465,0.347,0.782
0,Western Michigan,2013-14,53,77,0.22,184.00,15.00,148.00,17.6969697,33.06060606,5.909090909,17.96969697,18.78787879,25.93939394,10.3030303,26.63636364,14.93939394,7.515151515,4.909090909,11.57575758,17.87878788,0.463,0.535,0.329,0.724
0,Wofford,2013-14,40,57,0.74,183.00,15.00,256.00,18.54545455,38.18181818,5.939393939,16.48484848,11.90909091,17.93939394,11.03030303,26.45454545,14.33333333,8.757575758,4.212121212,14.45454545,17.48484848,0.448,0.486,0.36,0.664
1,Albany (NY),2013-14,63,65.5,0.28,175.00,16.00,305.00,17.70588235,37.64705882,4.794117647,13.32352941,16.05882353,21.41176471,10.02941176,26.47058824,12.58823529,6.970588235,5.117647059,12.14705882,16.73529412,0.441,0.47,0.36,0.75
0,Mount St. Mary's,2013-14,64,71,0.30,173.00,14.00,345.00,16.57575758,33,8.96969697,25.27272727,15.81818182,21.39393939,9.212121212,24.93939394,16.60606061,6.666666667,4.696969697,11.27272727,17.66666667,0.438,0.502,0.355,0.739
0,Weber State,2013-14,59,68,0.43,169.00,16.00,253.00,16.4516129,31.4516129,7.161290323,18.25806452,18.32258065,24.74193548,13.06451613,28.38709677,15.61290323,10.12903226,4.709677419,17.74193548,20.96774194,0.475,0.523,0.392,0.741
1,Cal Poly,2013-14,59,66.5,0.53,140.00,16.00,135.00,15.76470588,35.17647059,6.411764706,19.23529412,12.20588235,17.73529412,9.470588235,21.82352941,12.47058824,7.382352941,4.588235294,12,19.52941176,0.408,0.448,0.333,0.688
0,American,2013-14,35,75,0.68,126.00,15.00,293.00,16.39393939,29.72727273,6.272727273,16.54545455,11.45454545,16.21212121,11.48484848,27.78787879,17.12121212,8.03030303,4.757575758,14.27272727,19.57575758,0.49,0.551,0.379,0.707
0,Nebraska,2013-14,60,74,1.00,107.00,12.00,12.00,16.59375,35,5.875,17.625,15.96875,22.28125,11.21875,24.6875,18.125,9.5,3.8125,14.34375,19.34375,0.427,0.474,0.333,0.717
0,Delaware,2013-14,78,93,2.26,105.00,13.00,185.00,19.54285714,39.45714286,7.2,20.77142857,18.8,26.42857143,10.65714286,23.51428571,14.34285714,6.114285714,2.8,11.51428571,17.48571429,0.444,0.495,0.347,0.711
0,Coastal Carolina,2013-14,59,70,1.19,102.00,16.00,218.00,19.08823529,39.44117647,6.235294118,18.47058824,15.41176471,22.29411765,10.58823529,29.11764706,16.88235294,7.647058824,7.264705882,14.94117647,18.14705882,0.437,0.484,0.338,0.691
0,Eastern Kentucky,2013-14,69,80,1.22,100.00,15.00,249.00,16.64705882,29.5,9.264705882,23.73529412,17.64705882,23.47058824,9.5,23.64705882,14.29411765,6.823529412,3.352941176,13.38235294,18.47058824,0.487,0.564,0.39,0.752
1,Memphis,2013-14,65.5,72,0.67,99.00,14.00,307.00,22.82352941,42.85294118,5.352941176,16.23529412,15.17647059,23.55882353,7.147058824,25.5,13.23529412,4.323529412,3.941176471,12.26470588,17.05882353,0.477,0.533,0.33,0.644
0,Virginia Commonwealth,2013-14,75,77,1.60,86.00,14.00,228.00,18.91428571,41.48571429,7.428571429,21.25714286,14.85714286,22.05714286,9.942857143,21.57142857,14.05714286,8.857142857,4.342857143,14.4,18.97142857,0.42,0.456,0.349,0.674
1,North Carolina,2013-14,81,81,3.86,72.00,13.00,219.00,23.73529412,47.73529412,4.294117647,12.76470588,16.23529412,25.94117647,10.26470588,23.11764706,14.17647059,6.588235294,3.176470588,10.97058824,18.35294118,0.463,0.497,0.336,0.626
